"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString","sig"
"1","1004",46,3,15.3462977307589,6.93116590185879e-11,4.93201449780599,77.118257846175,"Symptoms involving emotional state","Significant"
"2","297",79,4,19.7750326572449,3.91025945778167e-19,7.42553595667316,74.3559660224297,"Suicidal ideation or attempt","Significant"
"3","297.2",123,5,24.6469753680504,1.53341948690266e-30,10.2774758315675,77.3492878205607,"Suicide or self-inflicted injury","Significant"
"4","302",52,9,5.78150874029106,1.78983447816605e-08,2.82291147339622,13.3448199505216,"Sexual and gender identity disorders","Significant"
"5","303.1",43,3,14.3452469486904,4.59336585185058e-10,4.58965573487598,72.2694479378237,"Dissociative disorder","Significant"
"6","305.21",96,12,8.01049656970763,1.90422245015308e-17,4.38006889643716,16.0473436320773,"Anorexia nervosa","Significant"
"7","306",586,241,2.44505120504025,3.79138652557489e-34,2.10001959651277,2.85376819191179,"Random mental disorder. Ignored for now","Significant"
"8","313",103,22,4.6875672383307,9.7923079861784e-14,2.93637734022422,7.80428879490409,"Pervasive developmental disorders","Significant"
"9","313.2",89,17,5.24103958365477,5.79277543131954e-13,3.09634346676724,9.39641172832132,"Tics and stuttering","Significant"
"10","313.3",623,62,10.1375729997451,4.74056435446686e-118,7.79722025080169,13.389930963292,"Autism","Significant"
"11","315.1",67,10,6.70587509426917,1.67529349943338e-11,3.42948823719659,14.6157832211298,"Learning disorder","Significant"
"12","315.3",127,14,9.0875361553758,5.53015624226029e-24,5.22049143675305,17.1003027440053,"Mental retardation","Significant"
"13","608",80,34,2.35477928378715,1.94316663643288e-05,1.55773291172501,3.62922823796019,"Male genital disorders","Significant"
"14","614.52",191,92,2.07932956394512,3.83681185499572e-09,1.6127221153353,2.69716328802709,"Vaginitis and vulvovaginitis","Significant"
"15","626.11",121,52,2.32959199724035,1.59356931531875e-07,1.66951721445734,3.29005581771923,"Absent or infrequent menstruation","Significant"
"16","769",739,581,1.27516011945038,1.36839048336571e-05,1.14162034311774,1.42477498002753,"Nonallopathic lesions NEC","Significant"
