"","phecode","ctrl_w_dz","ctrl_w_dz_exp","case_w_dz","case_w_dz_exp","hazard_ratio","pval","PheWASString","sig"
"1","008.5",28,55.9966431561635,76,48.0033568438365,3.19779984593105,1.63369046727347e-07,"Bacterial enteritis","Significant"
"2","008.6",30,65.1655109925406,90,54.8344890074594,3.60531018393642,1.36989540841493e-09,"Viral Enteritis","Significant"
"3","010",18,37.7467762869782,53,33.2532237130218,3.36495503112744,9.13117144537287e-06,"Tuberculosis","Significant"
"4","053",206,297.871329026339,350,258.128670973661,1.96862900771479,1.46852194985132e-14,"Herpes zoster","Significant"
"5","090",10,42.4159331971324,71,38.5840668028676,7.87464474584153,1.05145317522475e-09,"Sexually transmitted infections","Significant"
"6","110.13",71,101.099343641197,117,86.9006563588028,1.92474870251019,1.42879533028011e-05,"Dermatophytosis of the body","Significant"
"7","110.2",23,46.166192762832,63,39.833807237168,3.19521291299112,1.97123947623452e-06,"Dermatomycoses","Significant"
"8","112.3",42,106.555395938568,155,90.4446040614316,4.39066454629688,2.22810894753367e-17,"Candidiasis of skin and nails","Significant"
"9","117",22,67.6788337925989,105,59.3211662074011,5.5046874830728,3.96179013778281e-13,"Mycoses","Significant"
"10","132",11,34.8718394586682,54,30.1281605413318,5.72501633822027,1.39075548428537e-07,"Infestation","Significant"
"11","153.2",443,510.777105094243,538,470.222894905757,1.3208041162431,1.50376247641482e-05,"Colon cancer","Significant"
"12","155",29,50.0784104438351,65,43.9215895561649,2.57320193756062,2.46645309500632e-05,"Hepatic cancer","Significant"
"13","155.1",31,53.5258970385181,70,47.4741029614819,2.55845353074141,1.40047081278892e-05,"Hepatic cancer, primary","Significant"
"14","250.13",25,46.056584938197,63,41.943415061803,2.77544954587114,1.61149438826562e-05,"Type 1 diabetic retinopathy","Significant"
"15","250.15",60,111.895650809933,155,103.104349190067,2.81281200870941,1.10680048334486e-11,"Type 1 diabetic peripheral circulatory disorders","Significant"
"16","260.3",175,344.670340240243,440,270.329659759757,3.24288791931424,3.07292828081141e-39,"Adult failure to thrive","Significant"
"17","261",42,87.7578813290181,121,75.2421186709819,3.38565053374211,1.11379968953434e-11,"Vitamin deficiency","Significant"
"18","263",57,101.883345932163,131,86.1166540678365,2.73950688904402,2.46513720519863e-10,"Other nutritional deficiency","Significant"
"19","264.2",147,698.463199307049,1187,635.536800692951,8.92030446239536,4.58112148021622e-138,"Failure to thrive","Significant"
"20","270.21",6,29.8486551532371,48,24.1513448467629,10.0705568114406,1.02766487191636e-07,"Disorders of urea cycle metabolism","Significant"
"21","275.5",36,69.2315324712994,97,63.7684675287006,2.933302968347,3.63154849292975e-08,"Calcium/phosphorus disorders","Significant"
"22","276.4",21,57.1275643773743,85,48.8724356226257,4.78704256535141,1.48762812501012e-10,"Acid-base balance disorder","Significant"
"23","276.42",49,150.763783168869,233,131.236216831131,5.51816863178482,2.12527841876717e-27,"Alkalosis","Significant"
"24","277",67,98.4998369687261,111,79.5001630312739,2.06661309731842,3.00344824636034e-06,"Other disorders of metabolism","Significant"
"25","281.11",221,291.417469615216,339,268.582530384784,1.6673422426374,3.57388926219337e-09,"Pernicious anemia","Significant"
"26","281.13",12,30.1647541618948,44,25.8352458381052,4.31907180436564,7.41742259521285e-06,"Folate-deficiency anemia","Significant"
"27","284",21,61.530618847369,97,56.469381152631,5.06397282088725,1.69579694722281e-11,"Aplastic anemia","Significant"
"28","286.7",94,129.385584339625,139,103.614415660375,1.85574828131493,3.99929369117653e-06,"Other and unspecified coagulation defects","Significant"
"29","290",919,4752.8720258968,7599,3765.1279741032,10.6683852431557,2.2250738585072e-308,"Delirium dementia and amnestic disorders","Significant"
"30","290.11",1241,5333.62059041718,8354,4261.37940958282,8.60255579210374,2.2250738585072e-308,"Alzheimer's disease","Significant"
"31","290.12",107,734.212409293863,1282,654.787590706137,13.5623315902528,8.89966808597988e-148,"Dementia with cerebral degenerations","Significant"
"32","290.13",488,3594.13079236603,6164,3057.86920763397,15.0169361776847,2.2250738585072e-308,"Senile dementia","Significant"
"33","290.16",327,1747.53361894434,2926,1505.46638105566,10.528515362538,2.2250738585072e-308,"Vascular dementia","Significant"
"34","291.1",7,84.2474422786196,157,79.7525577213804,23.7721385283511,2.38414095632574e-16,"Transient mental disorders due to conditions classified elsewhere","Significant"
"35","292.12",151,329.135712197399,437,258.864287802601,3.72387328016027,9.24713017098031e-44,"Symbolic dysfunction","Significant"
"36","292.6",58,484.955243577078,870,443.044756422922,16.5925481165499,3.68479440345687e-95,"Hallucinations","Significant"
"37","331.1",29,80.3029382200005,117,65.6970617799995,4.99455564141315,1.0813616557836e-14,"Hydrocephalus","Significant"
"38","331.9",41,94.261773297001,129,75.738226702999,3.95533019213162,2.07197062142866e-14,"Cerebral degeneration, unspecified","Significant"
"39","333.2",20,69.0490443640521,110,60.9509556359479,6.27626773150566,4.4982738946085e-14,"Myoclonus","Significant"
"40","333.8",28,105.971633053886,173,95.028366946114,6.94357546690464,2.09079486314719e-21,"Other degenerative diseases of the basal ganglia","Significant"
"41","334.1",25,51.4060774949617,73,46.5939225050383,3.23748528907236,4.18493479497723e-07,"Spinocerebellar disease","Significant"
"42","334.2",13,30.4428915178006,45,27.5571084821994,3.8490748442566,1.94069929176562e-05,"Anterior horn cell disease","Significant"
"43","337",21,45.5221760375229,65,40.4778239624771,3.50051548086125,6.30187997733506e-07,"Disorders of the autonomic nervous system","Significant"
"44","346.1",13,32.7823518975915,46,26.2176481024085,4.47323623650183,1.98080869395044e-06,"Nonspecific abnormal findings on radiological and other examination of skull and head","Significant"
"45","352.2",63,96.3911638680356,117,83.6088361319644,2.15018233031474,1.03073536877429e-06,"Facial nerve disorders","Significant"
"46","359.2",50,92.0098907068652,115,72.9901092931348,2.92643023571416,2.73198266063368e-10,"Myopathy","Significant"
