"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString"
"1","008",59,16,3.68967003015484,6.06987636581191e-07,2.09527765569742,6.87134486476009,"Intestinal infection"
"2","008.5",8,3,2.6670061572789,0.226542081148726,0.640060003408176,15.6087132946236,"Bacterial enteritis"
"3","008.51",6,0,Inf,0.0312462876580005,1.17750876239175,Inf,"Intestinal e.coli"
"4","008.52",97,10,9.71280319337897,4.67550161032186e-19,5.06046354391984,20.8965148967184,"Intestinal infection due to C. difficile"
"5","008.6",30,7,4.28698325669488,0.000190685159655869,1.84492540826456,11.5644135768934,"Viral Enteritis"
"6","008.7",0,0,0,1,0,Inf,"Intestinal protozoal diseases"
"7","010",9,2,4.50022288410505,0.0654182023509932,0.931457156869308,42.7623246707594,"Tuberculosis"
"8","031",5,3,1.66670268085542,0.726553837354119,0.324271193372045,10.7353352486587,"Diseases due to mycobacteria"
"9","031.1",0,0,0,1,0,Inf,"Leprosy"
"10","038",333,31,10.7911073901061,3.30760204168311e-65,7.4583248306267,16.1441086694682,"Septicemia"
"11","038.1",81,10,8.10895803004929,5.78499512773758e-15,4.19055028588272,17.5523435446689,"Gram negative septicemia"
"12","038.2",59,4,14.7655576648276,1.3659178311423e-13,5.47046541035103,56.0109521609723,"Gram positive septicemia"
"13","038.3",174,19,9.18027817191494,1.42362380966102e-32,5.70268954426377,15.6190148978487,"Bacteremia"
"14","041",119,24,4.96555812795022,2.40399081545207e-16,3.18200212385325,8.05732791178685,"Bacterial infection NOS"
"15","041.1",41,2,20.5140832355865,2.14059451091012e-10,5.3266127602179,174.772397061707,"Staphylococcus infections"
"16","041.11",71,11,6.46050023945484,6.71832971148213e-12,3.40108774470121,13.5216085671089,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",82,14,5.863254345372,7.11242529615435e-13,3.30313008109713,11.1959321090166,"Methicillin resistant Staphylococcus aureus"
"18","041.2",67,13,5.15802198725382,6.34220314470543e-10,2.82117592959343,10.1899650793194,"Streptococcus infection"
"19","041.21",1,0,Inf,1,0.0256406640625001,Inf,"Rheumatic fever / chorea"
"20","041.4",41,8,5.12744286030025,1.95634421552274e-06,2.37281083936146,12.6640755139186,"E. coli"
"21","041.8",42,11,3.81972602350444,2.23912709138574e-05,1.93272767659644,8.22761758851502,"H. pylori"
"22","041.9",37,1,37.0211630580082,2.82347625056295e-10,6.24497398588741,1490.84490423426,"Drug-resistant infection"
"23","053",54,17,3.17856698238138,1.24594294053039e-05,1.81417992140412,5.8487319642087,"Herpes zoster"
"24","053.1",15,4,3.75031743274433,0.0192020336841789,1.19476016278746,15.519536605305,"Herpes zoster with nervous system complications"
"25","054",88,38,2.31774806898533,9.7502705460576e-06,1.5670043434366,3.48617812808598,"Herpes simplex"
