"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString"
"1","008",178,57,3.12901172751729,1.05220802336262e-15,2.30912282301004,4.29471612416701,"Intestinal infection"
"2","008.5",40,9,4.44634658228689,9.22891473992117e-06,2.12365968847534,10.4242104226496,"Bacterial enteritis"
"3","008.51",15,6,2.50047962268282,0.078329290903538,0.916670157352967,7.86607782556504,"Intestinal e.coli"
"4","008.52",555,129,4.33129533229271,4.14656004221687e-64,3.56899450831226,5.2900688413264,"Intestinal infection due to C. difficile"
"5","008.6",94,31,3.03545630328559,1.43335933577853e-08,2.0030784623927,4.71519937175163,"Viral Enteritis"
"6","008.7",0,2,0,0.499996040074447,0,5.32455687858608,"Intestinal protozoal diseases"
"7","010",27,9,3.0010136593156,0.00392819474339325,1.36972679481901,7.25334612540426,"Tuberculosis"
"8","031",19,7,2.71493215528711,0.0289430511114243,1.0926983222517,7.64328385377398,"Diseases due to mycobacteria"
"9","031.1",1,0,Inf,1,0.0256406640625001,Inf,"Leprosy"
"10","038",1448,264,5.58985368121863,4.68303093907821e-200,4.89673901865316,6.40002418725668,"Septicemia"
"11","038.1",339,85,4.00403379920326,4.23188055422375e-37,3.14750732692215,5.14157316028537,"Gram negative septicemia"
"12","038.2",249,38,6.57442995003452,2.93551608110003e-39,4.65814585785693,9.51231215301484,"Gram positive septicemia"
"13","038.3",647,140,4.6586290269308,4.37168347684913e-79,3.87391304507476,5.63522810092855,"Bacteremia"
"14","041",587,129,4.58340870691473,5.72658887549103e-71,3.7808421752099,5.59247783496496,"Bacterial infection NOS"
"15","041.1",113,23,4.91980695148719,1.76157052486656e-15,3.12128191889267,8.07440431793244,"Staphylococcus infections"
"16","041.11",202,53,3.82000322084882,1.04509014004583e-21,2.81007473473843,5.2735437367826,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",296,61,4.87034203816801,3.02667652535634e-38,3.68560909288189,6.52825815545561,"Methicillin resistant Staphylococcus aureus"
"18","041.2",202,44,4.60215709746602,2.0334240836718e-25,3.30692929408736,6.53182031974283,"Streptococcus infection"
"19","041.21",1,1,1,1,0.0127464938252323,78.45294664643,"Rheumatic fever / chorea"
"20","041.4",297,68,4.38326478771682,2.47234765036519e-35,3.35719704147708,5.79414577532647,"E. coli"
"21","041.8",48,51,0.941108942454096,0.840759717157384,0.621000696258635,1.42425391842467,"H. pylori"
"22","041.9",139,37,3.76249711408827,4.05585991969893e-15,2.60187169521416,5.56497201616894,"Drug-resistant infection"
"23","053",328,179,1.83672931251459,3.28670254186473e-11,1.52569508690761,2.21696306436742,"Herpes zoster"
"24","053.1",160,74,2.16509143804812,1.86725785232176e-08,1.63332624635873,2.89271255245371,"Herpes zoster with nervous system complications"
"25","054",61,28,2.17968775783781,0.00060759881793896,1.371860634377,3.54243592971869,"Herpes simplex"
"26","070",94,44,2.13803488940244,2.47867458504077e-05,1.47914683249488,3.13272361407067,"Viral hepatitis"
"27","070.1",8,1,8.00072471202665,0.0390558178108684,1.07262879777277,354.462166252012,"Viral hepatitis A"
"28","070.2",29,17,1.70618912897787,0.103742535123246,0.906587785135287,3.31011880179068,"Viral hepatitis B"
"29","070.3",205,50,4.10978191345304,1.67691455896115e-23,3.00358408511216,5.71765450258472,"Viral hepatitis C"
"30","070.4",47,20,2.35112826340406,0.00130337096973426,1.36603195987222,4.1892617063341,"Chronic hepatitis"
"31","070.9",3,1,3.00025427919167,0.624994060041104,0.240884717537688,157.373762329975,"Hepatitis NOS"
"32","071",13,5,2.60045491745927,0.0962288856016292,0.869890763494861,9.31824962870017,"Human immunodeficiency virus"
"33","071.1",30,13,2.30843764750345,0.0137023812710709,1.16816122495707,4.82118039954608,"HIV infection, symptomatic"
"34","078",214,183,1.16997245624366,0.131444471254323,0.955631257663491,1.43354624751497,"Viral warts & HPV"
"35","079",120,56,2.14501025535216,1.56349316307873e-06,1.54914359381816,3.0015812092665,"Viral infection"
"36","079.1",2,1,2.000009828708,1,0.104110162674707,117.91900862641,"Varicella infection"
