"","phecode","ctrl_w_dz","ctrl_w_dz_exp","case_w_dz","case_w_dz_exp","hazard_ratio","pval","PheWASString"
"1","008",89,191.776467714928,271,168.223532285072,3.49071248055175,1.74009469317061e-24,"Intestinal infection"
"2","008.5",28,55.9966431561635,76,48.0033568438365,3.19779984593105,1.63369046727347e-07,"Bacterial enteritis"
"3","008.51",8,19.6918439424085,29,17.3081560575915,4.15582259411655,0.000372168041637958,"Intestinal e.coli"
"4","008.52",338,924.669059753888,1397,810.330940246113,4.75636239518673,2.38592238638868e-145,"Intestinal infection due to C. difficile"
"5","008.6",30,65.1655109925406,90,54.8344890074594,3.60531018393642,1.36989540841493e-09,"Viral Enteritis"
"6","008.7",0,1.06034726549618,2,0.939652734503821,250503929.737828,0.998530256357182,"Intestinal protozoal diseases"
"7","010",18,37.7467762869782,53,33.2532237130218,3.36495503112744,9.13117144537287e-06,"Tuberculosis"
"8","031",19,23.4970555532309,25,20.5029444467691,1.51179278812364,0.17583830943617,"Diseases due to mycobacteria"
"9","031.1",0,0,0,0,NA,NA,"Leprosy"
"10","038",1112,2807.27718327504,3977,2281.72281672496,4.4672112378265,2.2250738585072e-308,"Septicemia"
"11","038.1",215,525.088611101164,756,445.911388898837,4.18246735149141,4.41772093976754e-76,"Gram negative septicemia"
"12","038.2",110,328.635715906662,507,288.364284093337,5.29878338955625,2.19048708931397e-56,"Gram positive septicemia"
"13","038.3",364,925.616283723883,1357,795.383716276117,4.38658241325097,1.23568116282907e-137,"Bacteremia"
"14","041",342,906.67137546674,1341,776.32862453326,4.62435503051514,2.80303553177333e-140,"Bacterial infection NOS"
"15","041.1",38,126.00539738365,199,110.99460261635,5.99457813270907,5.56630188717708e-24,"Staphylococcus infections"
"16","041.11",71,183.694574589557,276,163.305425410443,4.40197496332318,1.03529849337865e-28,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",142,456.694677947829,717,402.305322052171,5.78201669570851,4.52826777726832e-81,"Methicillin resistant Staphylococcus aureus"
"18","041.2",118,313.973240103161,469,273.026759896839,4.6156373301267,1.22590802890957e-49,"Streptococcus infection"
"19","041.21",1,2.72672121311915,4,2.27327878688085,4.85220378565313,0.158839357587813,"Rheumatic fever / chorea"
"20","041.4",200,540.112449630948,797,456.887550369052,4.76117741511774,3.30604998363599e-86,"E. coli"
"21","041.8",42,40.2720244824575,33,34.7279755175425,0.910775710219674,0.68849858740188,"H. pylori"
"22","041.9",63,206.068750524346,322,178.931249475654,5.95543588439991,3.44399532900548e-38,"Drug-resistant infection"
"23","053",206,297.871329026339,350,258.128670973661,1.96862900771479,1.46852194985132e-14,"Herpes zoster"
"24","053.1",108,132.970778402335,144,119.029221597665,1.49208753172652,0.00170755100860986,"Herpes zoster with nervous system complications"
"25","054",41,63.901140481752,79,56.098859518248,2.20330165207512,4.23410272649246e-05,"Herpes simplex"
"26","070",43,82.4330864941042,116,76.5669135058958,2.91257142262714,2.22438162199268e-09,"Viral hepatitis"
"27","070.1",0,3.25291473995795,6,2.74708526004205,265737564.136236,0.997455497937699,"Viral hepatitis A"
"28","070.2",15,24.9548982922779,33,23.0451017077221,2.389523470782,0.00522565182609192,"Viral hepatitis B"
"29","070.3",40,125.189335986547,204,118.810664013453,5.39178880770318,2.10281765508851e-22,"Viral hepatitis C"
"30","070.4",19,35.5117808561463,50,33.4882191438537,2.79328903210365,0.000138973468919687,"Chronic hepatitis"
"31","070.9",8,16.9160520640148,23,14.0839479359852,3.47650975090443,0.00245687597521469,"Hepatitis NOS"
"32","071",3,12.9890329785133,22,12.0109670214867,7.96038853556942,0.000754870631679371,"Human immunodeficiency virus"
"33","071.1",12,23.4123573466697,34,22.5876426533303,2.942836832929,0.00131882498896493,"HIV infection, symptomatic"
"34","078",178,158.080409715621,119,138.919590284379,0.75993144525763,0.0206665321232467,"Viral warts & HPV"
"35","079",70,135.636112556372,182,116.363887443628,3.05439311363557,2.50456556519693e-15,"Viral infection"
"36","079.1",3,6.41158880471006,9,5.58841119528994,3.46063277753251,0.0630608199587196,"Varicella infection"
"37","079.2",1,1.20906643658153,1,0.790933563418473,1.54425456048089,0.761432755863361,"Infectious mononucleosis"
"38","079.9",12,19.4895995876363,22,14.5104004123637,2.48976409927753,0.0115004829215793,"Viremia, NOS"
"39","080",107,273.357112074293,412,245.642887925707,4.30980978564541,3.4054463059338e-41,"Postoperative infection"
"40","081",101,335.080009113968,541,306.919990886032,5.87398636336934,7.1351235565227e-60,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",1,2.23350828034141,3,1.76649171965859,3.85879289765988,0.244811614688683,"Graft-versus-host disease"
"42","081.11",0,0.50988128051307,1,0.49011871948693,227591799.417237,0.998961978085484,"Acute graft-versus-host disease"
"43","081.12",1,1.0450046023313,1,0.954995397668695,1.09446995645609,0.949161476669275,"Chronic graft-versus-host disease"
"44","090",10,42.4159331971324,71,38.5840668028676,7.87464474584153,1.05145317522475e-09,"Sexually transmitted infections"
"45","090.2",2,2.13490016878385,2,1.86509983121615,1.14475886224348,0.892493591929521,"Gonococcal infections"
"46","090.3",0,0,0,0,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"47","1000",45,79.4011400953973,102,67.5988599046027,2.68086819051898,3.96603695623963e-08,"Burns"
"48","1001",166,300.269070802567,389,254.730929197433,2.7816140310258,3.84892273278975e-28,"Foreign body injury"
"49","1002",923,1820.40674811071,2447,1549.59325188929,3.13933871704853,1.47576913495101e-191,"Symptoms concerning nutrition, metabolism, and development"
"50","1003",0,2.57983246123048,5,2.42016753876952,235303326.933944,0.997677894264282,"Sudden death"
