"","phecode","ctrl_w_dz","ctrl_exp","case_w_dz","case_exp","hazard_ratio","pval","PheWASString"
"1","008",11,8.50186614875989,4,6.49813385124011,0.466883878041476,0.196659890269225,"Intestinal infection"
"2","008.5",3,1.84709731297132,0,1.15290268702868,6.22098438156749e-09,0.998323266055615,"Bacterial enteritis"
"3","008.51",0,0,0,0,NA,NA,"Intestinal e.coli"
"4","008.52",44,34.5825630091288,17,26.4174369908712,0.491914932643302,0.0144081753336099,"Intestinal infection due to C. difficile"
"5","008.6",6,4.21299421817732,0,1.78700578182268,6.34717802953765e-09,0.997899367657579,"Viral Enteritis"
"6","008.7",0,0,0,0,NA,NA,"Intestinal protozoal diseases"
"7","010",4,3.09079444368194,1,1.90920555631806,0.387526992198831,0.404762237391623,"Tuberculosis"
"8","031",1,1.16319459591385,1,0.836805404086147,1.39575636113932,0.81474686336504,"Diseases due to mycobacteria"
"9","031.1",0,0,0,0,NA,NA,"Leprosy"
"10","038",142,127.206089696927,72,86.7939103030727,0.724619788064688,0.0316750251049426,"Septicemia"
"11","038.1",24,19.586289475852,5,9.41371052414803,0.382373554695631,0.0617484501862104,"Gram negative septicemia"
"12","038.2",22,16.3415193169917,7,12.6584806830083,0.39378294089345,0.0344568354982461,"Gram positive septicemia"
"13","038.3",48,39.1924970060714,17,25.8075029939286,0.509797599659764,0.0207051180800796,"Bacteremia"
"14","041",44,38.2153058647691,22,27.7846941352309,0.675225028336777,0.140734750131229,"Bacterial infection NOS"
"15","041.1",9,7.45154986355604,4,5.54845013644396,0.585604989954556,0.380539347969049,"Staphylococcus infections"
"16","041.11",13,7.78222416176338,2,7.21777583823662,0.165061048118959,0.0177900541856242,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",30,23.1265125913581,10,16.8734874086419,0.440320797133275,0.0272417740224694,"Methicillin resistant Staphylococcus aureus"
"18","041.2",29,21.1492794579105,7,14.8507205420895,0.325155236530429,0.00861772834601307,"Streptococcus infection"
"19","041.21",1,0.5,0,0.5,4.57392213184022e-09,0.99896379475233,"Rheumatic fever / chorea"
"20","041.4",19,19.3629168102688,12,11.6370831897312,1.05935088116668,0.884838790768155,"E. coli"
"21","041.8",3,2.60985805278735,2,2.39014194721265,0.727862322095899,0.727918319262759,"H. pylori"
"22","041.9",15,10.8498630460458,1,5.15013695395421,0.118248465289385,0.0415163533141707,"Drug-resistant infection"
"23","053",13,10.5299671178812,4,6.47003288211877,0.469286496671935,0.200142081918046,"Herpes zoster"
"24","053.1",4,3.31961707190113,1,1.68038292809887,0.437930850068537,0.484698345747308,"Herpes zoster with nervous system complications"
"25","054",19,15.4418995810496,8,11.5581004189504,0.544023133296422,0.157597405605692,"Herpes simplex"
"26","070",12,8.71463604705373,2,5.28536395294627,0.243840375977336,0.0706518244036668,"Viral hepatitis"
"27","070.1",1,1,0,0,NA,NA,"Viral hepatitis A"
"28","070.2",7,4.92401019956906,2,4.07598980043094,0.336230045790728,0.177719895023885,"Viral hepatitis B"
"29","070.3",33,31.5968809259051,26,27.4031190740949,0.906386861981774,0.711081380199762,"Viral hepatitis C"
"30","070.4",3,1.53422002774661,0,1.46577997225339,4.77550430611617e-09,0.998210379431678,"Chronic hepatitis"
"31","070.9",1,1.54138398914518,1,0.458616010854817,261143586.913348,0.998960333205502,"Hepatitis NOS"
"32","071",15,10.350416870425,5,9.64958312957503,0.356359759469937,0.0459767754570047,"Human immunodeficiency virus"
"33","071.1",22,17.3558147794844,12,16.6441852205156,0.567573440006362,0.114981292034458,"HIV infection, symptomatic"
"34","078",45,38.8064329301486,14,20.1935670698514,0.566185675711786,0.0741970934368307,"Viral warts & HPV"
"35","079",23,15.2884968702887,3,10.7115031297113,0.174289178018853,0.00476235690851316,"Viral infection"
"36","079.1",0,0,0,0,NA,NA,"Varicella infection"
"37","079.2",3,3.14382889322654,2,1.85617110677346,1.15551387556115,0.885255204187592,"Infectious mononucleosis"
"38","079.9",6,4.48041875753252,1,2.51958124246748,0.265316396437609,0.229943357787257,"Viremia, NOS"
"39","080",19,15.5054764123201,6,9.49452358767994,0.48294651831238,0.133128816096787,"Postoperative infection"
"40","081",25,15.8433844973918,2,11.1566155026082,0.104337405357483,0.00222941685023205,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",0,0,0,0,NA,NA,"Graft-versus-host disease"
"42","081.11",0,0,0,0,NA,NA,"Acute graft-versus-host disease"
"43","081.12",0,0,0,0,NA,NA,"Chronic graft-versus-host disease"
"44","090",7,5.2465510349411,2,3.7534489650589,0.383690189715766,0.23957285954629,"Sexually transmitted infections"
"45","090.2",0,0.609391675560299,1,0.390608324439701,1018805602.47979,0.999352379184094,"Gonococcal infections"
"46","090.3",0,0,0,0,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"47","1000",21,16.773873699696,7,11.226126300304,0.468695241232094,0.0919704734584981,"Burns"
"48","1001",19,15.5011684123243,6,9.49883158767571,0.492528180826971,0.140144586883035,"Foreign body injury"
"49","1002",83,71.6677556123169,44,55.3322443876831,0.673676527439139,0.0380855847672729,"Symptoms concerning nutrition, metabolism, and development"
"50","1003",0,0,0,0,NA,NA,"Sudden death"
"51","1004",11,16.1941627349544,18,12.8058372650456,2.12754675158863,0.0531803582201992,"Symptoms involving emotional state"
"52","1005",81,63.4528692551228,31,48.5471307448772,0.483253549056232,0.000720423726717458,"Other symptoms"
"53","1006",0,0,0,0,NA,NA,"Crushing injury"
"54","1007",0,1.11552803043625,2,0.884471969563749,771758899.976152,0.999064476747646,"Injury to blood vessels"
"55","1008",16,14.1500984603039,6,7.8499015396961,0.634938837817349,0.371828036324209,"Internal injury to organs"
"56","1009",259,224.397140108264,135,169.602859891736,0.678765635413675,0.000337458810236121,"Injury, NOS"
"57","1010",955,1242.19175761772,1122,834.808242382283,1.80383642987272,1.44539821859252e-38,"Other tests"
"58","1010.1",1,0.588253012048193,0,0.411746987951807,6.24057959118252e-09,0.99900374853129,"nan"
"59","1011",29,32.0215986011763,26,22.9784013988237,1.27171726867804,0.393257341209262,"Complications of medical procedures NOS"
"60","1012",0,0,0,0,NA,NA,"Late effect"
"61","1013",87,60.5241868240825,20,46.4758131759175,0.286109875625177,5.95296731606422e-07,"Asphyxia and hypoxemia"
"62","1014",2,1.51061931108335,1,1.48938068891665,0.507096920370527,0.579291463142984,"Effects of heat, cold & air pressure"
"63","1015",127,144.577159975252,123,105.422840024748,1.3592502117766,0.0201775396238784,"Effects of other external causes"
"64","1019",540,346.759027901541,129,322.240972098459,0.253033307790221,2.09886987408112e-44,"Other causes of morbidity & mortality"
"65","110",0,0,0,0,NA,NA,"Dermatophytosis / Dermatomycosis"
"66","110.1",1,2.24144363809656,3,1.75855636190344,3.85089258165636,0.243915836061699,"Dermatophytosis"
"67","110.11",114,123.396703278415,109,99.603296721585,1.19302480121823,0.197386607381842,"Dermatophytosis of nail"
"68","110.12",11,13.041458863918,10,7.95854113608203,1.58743462748065,0.331656509839566,"Althete's foot"
"69","110.13",2,3.13312385178119,4,2.86687614821881,2.19091341274774,0.36580326926999,"Dermatophytosis of the body"
"70","110.2",2,2.99973349631122,3,2.00026650368878,2.3435892711314,0.363381809842453,"Dermatomycoses"
"71","1100",3,4.57206788027045,4,2.42793211972955,2.92504832256904,0.202324090396468,"x"
"72","112",51,35.3676734057113,9,24.6323265942887,0.235704424328677,7.93496741157008e-05,"Candidiasis"
"73","112.3",4,4.28467019960113,3,2.71532980039887,1.19337757147031,0.821382596930086,"Candidiasis of skin and nails"
"74","117",4,2.59639035747594,1,2.40360964252406,0.269392040517913,0.241062843128402,"Mycoses"
"75","117.1",0,0,0,0,NA,NA,"Histoplasmosis"
"76","117.2",1,0.505700187170325,0,0.494299812829675,4.67843909965015e-09,0.998965114048506,"Coccidioidomycosis"
"77","117.3",0,0,0,0,NA,NA,"Blastomycotic infection"
"78","117.4",4,2.73056483821614,1,2.26943516178386,0.294921307501591,0.27744745121978,"Aspergillosis"
"79","130",1,0.500240192153723,0,0.499759807846277,4.57831702424833e-09,0.998963828656822,"Spirochetal infection"
"80","130.1",12,6.69337606268067,1,6.30662393731933,0.0876274493834987,0.0194081084553213,"Lyme disease"
"81","131",0,0.536972596781209,1,0.463027403218791,695667256.947964,0.999336716705701,"Protozoan infection"
"82","132",3,2.15025460299868,1,1.84974539700132,0.386524139446602,0.410894476646667,"Infestation"
"83","132.1",1,0.500158780565259,0,0.499841219434741,4.57682731101353e-09,0.998963822383283,"Pediculosis & phthirus infestation"
"84","133",7,4.12516936640985,0,2.87483063359015,4.95260918796563e-09,0.99747614184276,"Arthropod-borne diseases"
"85","134",1,0.526117179741807,0,0.473882820258193,5.05647281061037e-09,0.998971394647759,"Helminthiases"
"86","134.1",1,0.564660691421255,0,0.435339308578745,5.785189961875e-09,0.998989263548535,"Intestinal helminthiases"
"87","136",16,13.1826035888595,6,8.81739641114051,0.539918949522636,0.209335643116663,"Other infectious diseases"
"88","145",1,2.00444171003519,3,1.99555828996481,3.01336786584264,0.33943864592765,"Cancer of mouth"
