"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString"
"1","008",264,88,3.0085433915425,1.30183864337252e-21,2.35432414356377,3.87530669916646,"Intestinal infection"
"2","008.5",53,14,3.78771961950386,1.76231647824452e-06,2.07174782149156,7.39366129487232,"Bacterial enteritis"
"3","008.51",21,6,3.50047464674288,0.00591947826262951,1.36657801047909,10.6026220703736,"Intestinal e.coli"
"4","008.52",666,141,4.7628117338755,8.64994022657242e-83,3.96497442827491,5.75514173733424,"Intestinal infection due to C. difficile"
"5","008.6",148,48,3.08841555656635,4.49356698577788e-13,2.21578469476922,4.37196105319898,"Viral Enteritis"
"6","008.7",1,3,0.333305082679092,0.624994060041104,0.00635429937744794,4.15136339997802,"Intestinal protozoal diseases"
"7","010",39,13,3.00139356410702,0.000408453683449208,1.56807739178709,6.12860091277999,"Tuberculosis"
"8","031",24,10,2.40065504735072,0.0242876525393146,1.10634973660835,5.62491082157683,"Diseases due to mycobacteria"
"9","031.1",1,0,Inf,1,0.0256406640625001,Inf,"Leprosy"
"10","038",1832,307,6.1156195577279,7.78554209273524e-268,5.41343228865701,6.92667957093079,"Septicemia"
"11","038.1",428,97,4.43535994758836,8.76018713123119e-51,3.54983767168423,5.58925043539849,"Gram negative septicemia"
"12","038.2",322,42,7.70067275925797,1.00311022609451e-54,5.56996812917216,10.8951422114677,"Gram positive septicemia"
"13","038.3",853,163,5.29084337262957,3.73285495430276e-114,4.46815248644089,6.29712340535377,"Bacteremia"
"14","041",744,170,4.41641354390541,8.12617077645778e-87,3.73288296552588,5.25082835687291,"Bacterial infection NOS"
"15","041.1",162,26,6.24403101429833,3.06006014372614e-25,4.10956778002697,9.84845636697727,"Staphylococcus infections"
"16","041.11",281,68,4.14603889380681,5.78978631164136e-32,3.17016450113378,5.48871120086718,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",398,83,4.81898524694534,1.55708683590639e-50,3.79456824948144,6.18266756954611,"Methicillin resistant Staphylococcus aureus"
"18","041.2",289,68,4.26463688189603,1.22184722326339e-33,3.26378593348648,5.64105373164493,"Streptococcus infection"
"19","041.21",3,1,3.00025427919167,0.624994060041104,0.240884717537688,157.373762329975,"Rheumatic fever / chorea"
"20","041.4",344,76,4.54534559272529,6.34370765263809e-42,3.53558139427304,5.90893843633804,"E. coli"
"21","041.8",93,64,1.45378217046413,0.0250378767234307,1.04594434132875,2.03162191067883,"H. pylori"
"22","041.9",184,38,4.85307540370438,3.29334583074162e-24,3.40689822107804,7.07736124690667,"Drug-resistant infection"
"23","053",386,200,1.93569952996746,1.1213559369345e-14,1.62711308529037,2.30881441859435,"Herpes zoster"
"24","053.1",175,79,2.21854371426874,1.56059459736225e-09,1.69110946193593,2.93242027457927,"Herpes zoster with nervous system complications"
"25","054",206,82,2.51726202751625,1.68186479476207e-13,1.93917135700136,3.29345675182247,"Herpes simplex"
"26","070",213,70,3.04993863032821,5.46808269383217e-18,2.31715160386512,4.05557271654381,"Viral hepatitis"
"27","070.1",10,1,10.0002264974377,0.011715347181547,1.42271796832006,433.209077527689,"Viral hepatitis A"
"28","070.2",70,42,1.66738980818536,0.010375414784188,1.12127376425378,2.50660152104427,"Viral hepatitis B"
"29","070.3",500,94,5.35338454531257,4.13253179132603e-68,4.2859006727028,6.74890843034733,"Viral hepatitis C"
"30","070.4",74,32,2.31416263695895,5.5030798544472e-05,1.50900296312216,3.62189115048976,"Chronic hepatitis"
"31","070.9",10,2,5.00039002003779,0.0385652860332053,1.06562370597996,46.9374453466072,"Hepatitis NOS"
"32","071",112,25,4.48590231127519,2.33295840067152e-14,2.88707204459094,7.2276000566964,"Human immunodeficiency virus"
"33","071.1",206,66,3.1283566462392,5.74283894438019e-18,2.35935764905032,4.19381046464368,"HIV infection, symptomatic"
"34","078",749,736,1.01787740437364,0.754104744601264,0.917623671060101,1.12907907022701,"Viral warts & HPV"
"35","079",454,307,1.48228325925158,1.01320767237029e-07,1.27906239864636,1.71973366511389,"Viral infection"
"36","079.1",7,5,1.40003476752834,0.774403342221001,0.38247584218638,5.59399794663026,"Varicella infection"
"37","079.2",74,47,1.57512752480681,0.0176753236593433,1.07810992755742,2.32144443217652,"Infectious mononucleosis"
"38","079.9",12,9,1.33338925695631,0.663597166472338,0.515608400994153,3.58343308059625,"Viremia, NOS"
"39","080",442,140,3.17255553099951,1.39984033149009e-37,2.61645774809445,3.86579919823569,"Postoperative infection"
